NR IMOVEL;NR INCRA;CEP
93783523;9510809688977;45170000
93783558;9510809225608;38190000
93783582;9510727975102;76937000
93783590;9510560820667;69265000
93783671;1251050042436;64525000
93783787;9510809189032;47640000
93783817;9999033634722;47730000
26958660;3130760243096;44001001
93784015;9510807988949;36832000
93784023;9510809525407;76680000
93784040;4160610075284;38700062
93784074;9999896585703;39704000
07649568;6120300030855;15940000
03210847;6101350076096;51050000
93784082;9510800167133;15940000
23833513;6160280074127;18185000
93784112;9510809302610;36900001
93784147;9510993596370;48440000
93784155;9510808725984;62850000
63891220;6421000072777;15130001
57580952;9340540011204;75667000
93784210;9510809072860;56210000
93784244;1450170268406;62840000
70253390;0000435117309;35604000
93784252;9510808982367;56210000
93784260;9500179159398;62840000
93784279;9510809338992;36930000
93292180;9510805079895;46140000
31358020;9281000038670;73990000
43336396;9320780005405;76255000
74449940;9341002734812;75340000
93784309;9510809546404;16210000
93784317;9510809637043;35104000
93784325;9510808869048;48900002
93784333;9510727581597;37170000
59933739;9500178776466;37890000
93784406;9510809764827;63430000
93784422;9510806777448;36974000
93784430;9510809853765;63500005
93784457;9510805444186;36974000
93784473;9510807665260;17440000
93784481;9510806794296;73870000
93784490;9510806773701;36974000
36815314;8160430628638;89340000
93784503;9510643516013;44230000
93784511;9510809138470;47400000
93784538;9501061181336;75940000
93784546;9510809677266;65800000
93784554;9510809680216;36930000
93784570;9510808611970;35488000
93784589;9510809408796;17360000
88709639;9999704645970;15200000
93784635;9500335679062;64216825
93784678;9510809402836;17360000
93784686;9510808804264;96450000
93784694;9510809577040;88064710
93784708;9500411460806;37175000
93784724;9510809437389;93824899
93784775;9510809474152;89825000
93784821;9510807518128;99530000
93784880;9510809033881;47300000
93784899;7221030022833;85525000
86720449;9500179546758;15718000
93784937;9501499833069;75940000
93784945;9500681274850;85550000
93784961;9510808297818;35578899
93784988;9501141670290;68220000
93785003;6170320018808;16680000
93785020;1070180257715;65440000
93785194;9510809846556;87525000
93785240;9230520055841;77716000
93785259;9510809522653;78320000
33369526;9510729703100;97335000
93785275;9510806325385;65385000
93785283;9510809557015;39868000
93785291;9510809383513;68220000
93785313;9510809557104;85250000
93785356;9500339747224;61700000
93785399;9510809732542;36955000
93785402;9510560205164;77478000
93785429;9510563326663;77650000
93785445;9510807747151;89675000
93785534;8680780261900;98400000
93785712;9510808993725;72800010
93785933;9510808301351;47580000
93786026;9510809593160;49680000
93786042;9501907133844;63575000
93786069;9510809885616;49660000
93786140;9500849805520;63310000
93786212;9510809402755;64240000
93786530;9510809699405;44640000
93786646;9501499413361;75610000
08216444;8141050052585;89640000
93786697;0000433899601;77993000
93786743;9510800820074;76100000
57180067;9501142181462;56220000
93786840;9510809783961;44640000
93786867;9510808336309;36200001
93787022;9510648634162;78698000
93787030;9501221475080;56950000
93787065;9999899419561;63925974
93787073;9510806300714;97590000
93787103;9510809459358;80000202
93787138;9510809620582;96700000
93787154;9510809462812;97400000
93787170;9510809853684;75240000
93787197;8153570109600;89840000
93787227;9510809850405;45000010
93787235;9510990016780;38770000
93787260;9510806297829;97590000
93787324;9510646928169;11750000
93787367;9501068721808;29380000
93787375;9999625145198;56220000
93787383;9510807013190;79190000
93787413;9510809176488;18320000
93787448;9510809680135;15720000
93787499;9510809604110;45930000
93787588;9510809522904;69117000
93787669;9510806303578;97590000
93787707;9510990082570;77600000
93787731;9060420049361;78620000
93787790;9510800992606;75610000
93787820;9510806427625;37810000
93787839;9510724680616;78830000
93787847;9510806291707;97590000
93787871;9510809111432;75280000
93787898;9510131438630;78530000
93787901;9510643900549;38610001
